id,title,artist,album,quadrant,valence,energy,durationMs,analysisConfidence,categorySource,audioUrl,downloadUrl,externalUrl,licenseUrl,source
archive-nineinchnails_ghosts_I_IV-10,10 Ghosts II,Nine Inch Nails,Ghosts I-IV,tense,0.08,0.62,162300,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/10_Ghosts_II_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/10_Ghosts_II_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
archive-nineinchnails_ghosts_I_IV-16,16 Ghosts II,Nine Inch Nails,Ghosts I-IV,sad_low,0.08,0.18,149970,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/16_Ghosts_II_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/16_Ghosts_II_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
commons-64742139,Impact Allegretto,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.5,0.5,182073,0.45,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/f/fa/Impact_Allegretto_%28ISRC_USUAN1100622%29.mp3,https://upload.wikimedia.org/wikipedia/commons/f/fa/Impact_Allegretto_%28ISRC_USUAN1100622%29.mp3,https://commons.wikimedia.org/wiki/File:Impact_Allegretto_(ISRC_USUAN1100622).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-17,17 Ghosts II,Nine Inch Nails,Ghosts I-IV,relaxed,0.5,0.18,133280,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/17_Ghosts_II_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/17_Ghosts_II_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
archive-nineinchnails_ghosts_I_IV-14,14 Ghosts II,Nine Inch Nails,Ghosts I-IV,tense,0.08,0.62,185550,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/14_Ghosts_II_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/14_Ghosts_II_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
archive-nineinchnails_ghosts_I_IV-19,19 Ghosts III,Nine Inch Nails,Ghosts I-IV,sad_low,0.08,0.18,131710,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/19_Ghosts_III_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/19_Ghosts_III_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
commons-64742220,Impact Andante,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.5,0.5,168856,0.45,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/9/9b/Impact_Andante_%28ISRC_USUAN1100621%29.mp3,https://upload.wikimedia.org/wikipedia/commons/9/9b/Impact_Andante_%28ISRC_USUAN1100621%29.mp3,https://commons.wikimedia.org/wiki/File:Impact_Andante_(ISRC_USUAN1100621).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
archive-nineinchnails_ghosts_I_IV-21,21 Ghosts III,Nine Inch Nails,Ghosts I-IV,relaxed,0.5,0.18,174340,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/21_Ghosts_III_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/21_Ghosts_III_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
archive-nineinchnails_ghosts_I_IV-18,18 Ghosts II,Nine Inch Nails,Ghosts I-IV,tense,0.08,0.62,322590,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/18_Ghosts_II_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/18_Ghosts_II_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
archive-nineinchnails_ghosts_I_IV-20,20 Ghosts III,Nine Inch Nails,Ghosts I-IV,sad_low,0.08,0.18,219350,0.83,curated_archive_mainstream_instrumental,https://archive.org/download/nineinchnails_ghosts_I_IV/20_Ghosts_III_320kb.mp3,https://archive.org/download/nineinchnails_ghosts_I_IV/20_Ghosts_III_320kb.mp3,https://archive.org/details/nineinchnails_ghosts_I_IV,http://creativecommons.org/licenses/by-nc-sa/3.0/us/,curated_archive
commons-64742276,Impact Lento,Kevin MacLeod,Incompetech Instrumental Essentials,happy,0.5,0.5,210573,0.45,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/8/85/Impact_Lento_%28ISRC_USUAN1100619%29.mp3,https://upload.wikimedia.org/wikipedia/commons/8/85/Impact_Lento_%28ISRC_USUAN1100619%29.mp3,https://commons.wikimedia.org/wiki/File:Impact_Lento_(ISRC_USUAN1100619).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
commons-64728616,Zazie,Kevin MacLeod,Incompetech Instrumental Essentials,relaxed,0.77,0.48,213394,0.75,wikimedia_commons_incompetech_curated,https://upload.wikimedia.org/wikipedia/commons/8/88/Zazie_%28ISRC_USUAN1700062%29.mp3,https://upload.wikimedia.org/wikipedia/commons/8/88/Zazie_%28ISRC_USUAN1700062%29.mp3,https://commons.wikimedia.org/wiki/File:Zazie_(ISRC_USUAN1700062).mp3,https://creativecommons.org/licenses/by/3.0,wikimedia_commons
